,31m56s.png,10m04s.png,07m36s.png,38m55s.png,03m10s.png,14m04s.png,33m28s.png,06m47s.png,08m25s.png
60,-0.0,27092410000.0,-0.0,-0.0,-0.0,-0.0,-0.0,54399844000.0,-0.0
61,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
62,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,68135264000.0,-0.0
63,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,54399844000.0,-0.0
64,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,68135264000.0,-0.0
65,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,13519540000.0,-0.0
66,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,54399844000.0,-0.0
67,13519540000.0,-0.0,27092410000.0,-0.0,13519540000.0,-0.0,40719036000.0,27092410000.0,27092410000.0
68,-0.0,13519540000.0,54399844000.0,27092410000.0,-0.0,-0.0,27092410000.0,27092410000.0,27092410000.0
69,-0.0,13519540000.0,54399844000.0,-0.0,-0.0,-0.0,13519540000.0,27092410000.0,13519540000.0
70,-0.0,13519540000.0,81925740000.0,-0.0,-0.0,-0.0,13519540000.0,54399844000.0,13519540000.0
71,13519540000.0,13519540000.0,81925740000.0,-0.0,-0.0,-0.0,54399844000.0,27092410000.0,27092410000.0
72,-0.0,13519540000.0,54399844000.0,27092410000.0,-0.0,-0.0,13519540000.0,54399844000.0,27092410000.0
73,-0.0,-0.0,81925740000.0,-0.0,-0.0,-0.0,13519540000.0,54399844000.0,27092410000.0
74,13519540000.0,-0.0,27092410000.0,-0.0,13519540000.0,-0.0,13519540000.0,54399844000.0,40719036000.0
75,13519540000.0,-0.0,27092410000.0,-0.0,13519540000.0,-0.0,13519540000.0,54399844000.0,40719036000.0
76,27092410000.0,-0.0,13519540000.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,-0.0
